gfcat_objid,ra,dec,n_gfcat,simbad_id,simbad_otype,simbad_match_offset,simbad_n_match
GFCAT J0213740.2+013712.2,324.41789923920203,1.6200728274251346,2,RX J2137.6+0137,"Star, **",1.6063350156037766,1
GFCAT J0223442.0-002643.9,338.67516671124,0.4455314775528782,1,1RXS J223442.5+002655,X,13.074182328786971,1
GFCAT J0224555.3+012641.5,341.48078023215623,1.4448764210077083,1,Gaia DR2 2656020007913924864,Star,1.3467487128834241,1
GFCAT J0230217.9+132749.0,345.5748084309847,13.46363651339484,1,1RXS J230217.9+132749,"X, HighPM*",0.90066197580668,2
GFCAT J0235508.3+144845.6,358.78498384920937,14.812694379449889,1,--,--,--,0
GFCAT J0231352.8+142826.0,348.470247492763,14.473899455459602,1,RX J2313.9+1429,HighPM*,2.439871137545018,1
GFCAT J0225830.4-404246.6,344.62682166751483,-40.71295198434459,1,--,--,--,0
GFCAT J0011138.1-460729.1,17.908860784933005,-46.12476604918085,1,Gaia DR2 4933401235226133120,WhiteDwarf_Candidate,2.5891710419656286,1
GFCAT J0231111.9-095651.1,347.79987163438693,-9.947555367603746,1,--,--,--,0
GFCAT J0230431.9-002444.3,346.13310559286043,0.41233096839942196,2,ATO J346.1326+00.4126,delSctV*,1.991863274573211,1
GFCAT J0011050.6-460015.4,17.710846391559965,-46.004304931821565,2,LEHPM 1305,Eruptive*,2.19314431020076,1
GFCAT J0003336.6-434915.6,8.402590088318744,-43.82100870908823,11,CD-44   135,"Variable*, EmissionG",0.9847725939670069,1
GFCAT J0004229.0-442457.5,10.621031673917676,-44.41599087668683,3,CD-45   216B,"X, HighPM*, Eruptive*",1.9409403628744948,2
GFCAT J0230649.5-003650.8,346.70626,-0.61413,1,2MASS J23064945-0036495,"Galaxy, HorBranch*",1.3696875361891914,2
GFCAT J0235521.9+133015.1,358.841324160479,13.504212560604667,1,--,--,--,0
GFCAT J0003927.9-443121.1,9.866418584426476,-44.52253177143353,1,--,--,--,0
GFCAT J0004415.2-450015.8,11.063344711555946,-45.00441112003965,4,--,--,--,0
GFCAT J0003410.6-440502.6,8.544446455729457,-44.08407501602764,1,2MASS J00341047-4405017,Eruptive*,2.3113137983132575,1
GFCAT J0012912.6-221342.5,22.30269967337406,-22.228472717404284,1,ATO J022.3024-22.2279,Variable*,2.0604358925519577,1
GFCAT J0012556.3-354317.2,21.48489003701724,-35.721451099824485,1,--,--,--,0
GFCAT J0194907.0+774422.3,297.2793125804054,77.73954334200673,1,V* AB Dra,CataclyV*,1.881117529600927,1
GFCAT J0221512.1+254213.2,333.80051565922827,25.703690549612205,2,GALEX 2681341661974366905,WhiteDwarf_Candidate,1.6674735683784916,1
GFCAT J0001949.0-364619.7,4.954514819649678,-36.77214064732625,1,--,--,--,0
GFCAT J0224145.7-010540.4,340.4405284121499,-1.094575038411305,1,2MASS J22414562-0105391,HighPM*,1.960933536052996,1
GFCAT J0003442.4-081518.8,8.676679518704146,-8.255248004725775,1,--,--,--,0
GFCAT J0002513.2+041156.4,6.30503730445403,4.199011211896302,1,--,--,--,0
GFCAT J0002504.5-364619.3,6.2688101872801605,-36.77205547808172,1,G 267-100,**,2.958142216984273,1
GFCAT J0231422.6-310311.8,348.5945796990916,-31.05330481188008,1,--,--,--,0
GFCAT J0233446.0-251002.9,353.6918216469755,-25.1674999751848,1,--,--,--,0
GFCAT J0225645.4-243934.1,344.1892540533556,-24.65949517273275,1,NAME HBQS 2254-2455A,"HighPM*, **",1.9351457705333133,3
GFCAT J0224840.1-064246.1,342.16726297218986,-6.712817326222839,2,HE 2246-0658,WhiteDwarf,1.80800175077596,1
GFCAT J0005618.1+122938.0,14.075418664213657,12.49389609133521,2,--,--,--,0
GFCAT J0233145.0-024441.1,352.93788829796824,-2.7447554721878964,2,V* AF Psc,Eruptive*,2.729436050096468,1
GFCAT J0020916.2+105218.3,32.317569414647764,10.871759659976114,1,2MASS J02091610+1052197,Star,2.1586065401615433,1
GFCAT J0023955.6-072855.9,39.981682481347,-7.482213244692814,1,SDSS J023955.52-072855.4,Star,1.1623147425833291,1
GFCAT J0024048.3-070618.0,40.201266789565125,-7.105017584478788,1,CRTS J024048.2-070617,delSctV*,1.6428883895967004,1
GFCAT J0235201.2+162012.1,358.0051703479164,16.336704704114645,1,2MASS J23515950+1619482,Star,34.51217330292971,0
GFCAT J0002544.1+170453.0,6.43415,17.08139,1,--,--,--,0
GFCAT J0003909.5-004011.2,9.789764050438013,0.6697851936332181,1,FASTT    8,"PulsV*, GtowardsCl, AGN_Candidate",1.995145161324547,1
GFCAT J0040133.4-052134.9,60.38940173176805,-5.359695555867169,1,--,--,--,0
GFCAT J0005506.8-005703.2,13.778578305952594,-0.950908435565179,1,ATO J013.7784-00.9507,Low-Mass*,1.7277187518175114,1
GFCAT J0005259.0+120946.0,13.245979561569154,12.162789782712256,1,CRTS J005258.9+120947,"Galaxy, EllipVar",1.467313147260868,1
GFCAT J0045133.1-315139.8,72.88824575762233,-31.86106133796989,1,--,--,--,0
GFCAT J0031811.7-381102.7,49.548803777558014,-38.18408974000284,1,--,--,--,0
GFCAT J0011839.9+115123.1,19.666436097299616,11.85642939343505,1,UCAC4 510-001946,YSO_Candidate,2.2263161622562126,1
GFCAT J0013655.5+071628.4,24.231304960940733,7.274561794796727,1,V* AY Psc,CataclyV*,1.1661560575173384,1
GFCAT J0013954.8+073149.3,24.97864364011136,7.5303864052893985,1,--,--,--,0
GFCAT J0022536.2+280549.8,36.400835398294305,28.09717530266829,2,V* RW Tri,CataclyV*,0.6657211467874466,1
GFCAT J0025604.0-003633.7,44.01687220258365,-0.6093776741726988,1,LP  591-156,Low-Mass*,2.3679278939809296,1
GFCAT J0003607.0-341255.2,9.029312115355324,-34.21534441034806,1,--,--,--,0
GFCAT J0031408.4-545755.0,48.53507392584694,-54.9652978419718,1,Gaia DR3 4733793179901445888,PulsV*,1.9625797169225458,1
GFCAT J0031206.8-573844.4,48.02852079453815,-57.64568066866304,1,--,--,--,0
GFCAT J0050643.6-381915.4,76.68171787667566,-38.32095065532417,1,--,--,--,0
GFCAT J0031140.9-580357.6,47.92050801034109,-58.066016016230456,1,V* SU Hor,RRLyrae,2.1223647088667787,1
GFCAT J0014026.9-103825.1,25.11211163061669,-10.64031999424029,1,2MASS J01402694-1038241,Low-Mass*,1.0781892210583959,1
GFCAT J0065023.2-354827.9,102.59698995240154,-35.80776577526395,1,GUVV J065023.1-354827.2,"X, Star",1.8292992255499296,2
GFCAT J0092251.5-230408.7,140.71473339722706,-23.069109041594665,2,ATO J140.7143-23.0686,RRLyrae,2.158707372923351,1
GFCAT J0091536.3-103549.4,138.9016645914919,-10.597060565549876,5,G 161-7,**,1.9435568546784858,1
GFCAT J0091215.2-101205.0,138.06367437562372,-10.20139755278834,1,CRTS J091215.1-101203,EclBin_Candidate,2.1600516793011093,1
GFCAT J0052609.3-242018.4,81.53908614021722,-24.338444538540667,1,--,--,--,0
GFCAT J0081210.9+034323.3,123.04570318685072,3.723139477730206,1,--,--,--,0
GFCAT J0083040.9+042142.8,127.670455877868,4.36189414486184,3,PM J08306+0421,"X, HighPM*",2.523581273827692,1
GFCAT J0081519.9+035233.7,123.8332168998881,3.876053162592189,1,--,--,--,0
GFCAT J0081226.4+033318.9,123.11033056661192,3.5552578642600063,1,ATO J123.1099+03.5555,RRLyrae,1.9380373060369307,1
GFCAT J0081447.1+032702.3,123.69658851359998,3.4506449305869418,1,--,--,--,0
GFCAT J0081508.6+031523.5,123.786209296726,3.256532618048707,1,SDSS J081509.71+031506.9,Galaxy,22.613782243916972,0
GFCAT J0081452.7+033431.9,123.71979972299955,3.5755281568832507,1,--,--,--,0
GFCAT J0081727.5+515144.6,124.36472362957278,51.86241083518125,1,V* FI Lyn,"X, EclBin",2.9368622005934095,2
GFCAT J0084426.0+513828.6,131.10866592105,51.641298418153504,1,2MASS J08442597+5138304,"X, HighPM*",2.0832953243445615,1
GFCAT J0092936.1+704832.3,142.40080328969051,70.80899910798644,2,1RXS J092935.6+704837,X,5.634859349471536,1
GFCAT J0102847.4+612657.0,157.19764268747372,61.44919088576974,1,LINEAR 22468742,delSctV*,2.311275616450898,1
GFCAT J0103900.8+611053.0,159.75360392814022,61.181407072669536,1,2MASS J10390072+6110545,RRLyrae,1.8195469808509617,1
GFCAT J0103353.0+584653.3,158.47112598008488,58.78147908684169,26,V* DW UMa,CataclyV*,1.3164599330968643,1
GFCAT J0104356.9+580730.5,160.98713326220957,58.125143274998976,39,V* IY UMa,"CataclyV*, Star",1.1498972444600382,2
GFCAT J0104821.5+575932.9,162.0898489186343,57.99248886299557,1,2MASS J10482137+5759344,"QSO_Candidate, AGN",1.9997526553817915,1
GFCAT J0104803.2+554208.6,162.01368951761012,55.702404996219485,3,LINEAR 23442384,RRLyrae,2.3996379293719325,1
GFCAT J0104647.8+591443.5,161.6995807180641,59.24543106662906,1,GUVV J104647.6+591445.5,delSctV*,2.267473601233358,1
GFCAT J0092356.5+700256.9,140.9856558450962,70.04915222106207,1,--,--,--,0
GFCAT J0103130.8+570517.2,157.87874289757957,57.0881355851354,9,LP   92-176,Eruptive*,0.907487297237545,1
GFCAT J0105737.2+583130.1,164.4050829990361,58.525037069915975,1,2MASS J10573698+5831312,Star,2.0211212764113604,1
GFCAT J0110155.9+591835.0,165.48297336177376,59.30974553484848,1,1RXS J110157.1+591837,X,9.408699123489098,1
GFCAT J0092518.2+702308.5,141.32601575586853,70.3856983204677,1,--,--,--,0
GFCAT J0095056.7+690751.2,147.73646813655884,69.13091468577517,1,--,--,--,0
GFCAT J0103433.8+573230.1,158.6408795900373,57.54170989305079,2,CLASXS 381,Star,1.8565260745809247,1
GFCAT J0102847.0+572432.9,157.1961345874655,57.40915337406929,1,--,--,--,0
GFCAT J0035913.0-452451.5,59.804351260317695,-45.41431612314266,1,--,--,--,0
GFCAT J0041649.4-501030.0,64.20601634494317,-50.17500948205548,1,--,--,--,0
GFCAT J0084142.4+492515.4,130.42675074186246,49.42094734701219,1,LINEAR 5125006,RRLyrae,1.8219829243352024,1
GFCAT J0074438.7+291221.2,116.16130501031377,29.205909810798744,2,NSVS   7293918,"Galaxy, delSctV*, Star",1.687802157960246,2
GFCAT J0052501.8-483859.9,81.25788840869204,-48.6499991192168,1,--,--,--,0
GFCAT J0083137.5+192337.9,127.90653534456531,19.39387767716099,3,"V* CV Cnc B, V* CU Cnc","SB*, HighPM*, Low-Mass*, Star",1.5683802016520323,5
GFCAT J0083549.6+181450.9,128.956749958586,18.247495573158325,1,--,--,--,0
GFCAT J0120435.6-075816.0,181.14844753110413,-7.971115803699382,1,--,--,--,0
GFCAT J0084029.4+182405.1,130.12288197553923,18.40144304871362,1,V* AZ Cnc,"Eruptive*, Star",4.425424052270678,2
