Table 1
Target Early M Stars Observed by GALEX

Name	R.A._J2000	Decl._J2000	SpT	J_2MASS	Dist.^a	Bin.^b	Bin. Sep.^c	F_FUV	F_NUV	References.^d
(deg)	(deg)	(mag)	(pc)	Type	(")	(muJy)	(muJy)
TW Hydra Association, 10 Myr old
02474639-5804272	41.943320	-58.074220	M1.6	9.4	-35.5	 ... 	 ... 	11.85 +or- 2.25	51.98 +or- 3.65	15
00421010-5444431	10.542090	-54.745310	M3.0	9.8	-31.6	 ... 	 ... 	8.80 +or- 2.38	36.27 +or- 2.89	15
22244102-7724036	336.170920	-77.401020	M4.0	11.4	-45.9	 ... 	 ... 	<3.00	8.04 +or- 1.79	15
02001277-0840516	30.053270	-08.681140	M2.0	8.8	-25.4	 ... 	 ... 	22.34 +or- 0.96	96.91 +or- 1.68	15
01224511-6318446	20.687960	-63.312390	M3.3	9.8	-28.7	 ... 	 ... 	6.65 +or- 3.05	39.08 +or- 3.48	15
22463471-7353504	341.644660	-73.897350	M3.2	9.66	-27.5	 ... 	 ... 	Not. Obs.	42.93 +or- 1.16	15
22021626-4210329	330.567750	-42.175830	M0.8	8.93	-33.3	 ... 	 ... 	18.48 +or- 2.59	84.09 +or- 2.97	15
01351393-0712517	23.808040	-07.214380	M4.1	8.96	-14.2	 ... 	 ... 	17.44 +or- 3.60	87.83 +or- 4.65	15
01505688-5844032	27.737030	-58.734230	M2.9	9.54	-28.3	 ... 	 ... 	9.13 +or- 2.74	47.93 +or- 3.76	15
02205139-5823411	35.214130	-58.394760	M3.2	9.7	-27.8	 ... 	 ... 	10.99 +or- 3.64	40.23 +or- 3.95	15
02505959-3409050	42.748330	-34.151410	M3.8	10.5	-32.5	 ... 	 ... 	<5.00	23.52 +or- 3.54	15
00125703-7952073	3.237660	-79.868700	M3.4	9.7	-25.4	 ... 	 ... 	Not. Obs.	46.29 +or- 4.08	15
23474694-6517249	356.945610	-65.290260	M1.5	9.1	-32.2	 ... 	 ... 	13.60 +or- 3.97	80.38 +or- 5.55	15
03050976-3725058	46.290700	-37.418280	M2.5	9.54	-31.6	 ... 	 ... 	7.45 +or- 2.30	53.02 +or- 3.85	15
03210395-6816475	50.266470	-68.279870	M3.4	10.36	-33.4	 ... 	 ... 	7.18 +or- 2.51	22.15 +or- 3.52	15
22025453-6440441	330.727230	-64.678920	M2.1	9.1	-28.3	 ... 	 ... 	13.90 +or- 2.84	84.82 +or- 4.16	15
21163528-6005124	319.147040	-60.086780	M3.9	10.2	-27.0	 ... 	 ... 	6.97 +or- 2.21	28.90 +or- 2.52	15
20423672-5425263	310.653010	-54.423990	M3.9	10.8	-35.2	 ... 	 ... 	5.13 +or- 2.00	16.56 +or- 1.86	15
00240899-6211042	6.037490	-62.184520	M0.2	8.4	-28.6	 ... 	 ... 	33.07 +or- 5.69	152.52 +or- 7.50	15
23452225-7126505	356.342720	-71.447380	M3.8	10.2	-28.3	 ... 	 ... 	3.91 +or- 1.77	29.35 +or- 3.05	15
01211297-6117281	20.304080	-61.291150	M4.1	11.3	-42.3	--	 ... 	<5.00	9.78 +or- 3.52	15
23273447-8512364	351.893630	-85.210130	M4.0	10.9	-35.8	 ... 	 ... 	<3.00	16.04 +or- 2.52	15
01521830-5950168	28.076260	-59.838000	M1.6	8.9	-30.3	 ... 	 ... 	25.25 +or- 3.68	100.47 +or- 4.54	15
21443012-6058389	326.125500	-60.977500	M0.0	8.8	-34.8	 ... 	 ... 	18.53 +or- 2.41	124.33 +or- 3.18	15
03315564-4359135	52.981850	-43.987110	M0.0	8.3	-28.4	 ... 	 ... 	20.84 +or- 4.02	187.51 +or- 6.19	15
00144767-6003477	3.698650	-60.063260	M3.5	9.71	-25.1	 ... 	 ... 	8.53 +or- 3.42	50.09 +or- 4.72	15
21370885-6036054	324.286880	-60.601520	M3.6	9.6	-23.4	 ... 	 ... 	9.72 +or- 2.56	62.20 +or- 2.36	15
02125819-5851182	33.242490	-58.855060	M3.5	9.3	-21.0	 ... 	 ... 	24.21 +or- 5.36	81.45 +or- 4.96	15
23261069-7323498	351.544540	-73.397190	M1.5	8.8	-28.7	 ... 	 ... 	40.37 +or- 6.26	129.09 +or- 7.36	15
02420404-5359000	40.516860	-53.983350	M3.9	10.1	-26.7	 ... 	 ... 	16.68 +or- 4.24	36.13 +or- 4.68	15
05392505-4245211	84.854380	-42.755890	M1.8	9.5	-36.1	 ... 	 ... 	6.60 +or- 3.28	73.66 +or- 5.67	15
23285763-6802338	352.240160	-68.042750	M2.9	9.3	-25.4	 ... 	 ... 	23.52 +or- 3.25	90.08 +or- 2.62	15
23131671-4933154	348.319620	-49.554300	M4.1	9.76	-20.7	 ... 	 ... 	12.03 +or- 2.56	59.29 +or- 3.52	15
02423301-5739367	40.637550	-57.660200	K7.1	8.6	-40.7	 ... 	 ... 	21.18 +or- 3.40	173.90 +or- 5.23	15
02303239-4342232	37.635000	-43.706470	K7.0	8.02	-32.4	 ... 	 ... 	11.13 +or- 3.53	308.04 +or- 8.94	15
00393579-3816584	9.899160	-38.282890	M1.8	8.8	-26.3	 ... 	 ... 	27.23 +or- 3.91	163.64 +or- 6.08	15
04365738-1613065	69.239100	-16.218490	M3.0	9.1	-22.9	 ... 	 ... 	36.06 +or- 4.53	125.45 +or- 5.10	15
21100614-5811483	317.525620	-58.196750	M3.8	10.9	-39.6	 ... 	 ... 	<5.00	24.12 +or- 3.89	15
04074372-6825111	61.932190	-68.419770	M2.6	10.4	-46.6	 ... 	 ... 	12.74 +or- 2.71	57.57 +or- 3.89	15
23382851-6749025	354.618810	-67.817370	M3.9	10.9	-37.8	 ... 	 ... 	20.75 +or- 3.12	42.17 +or- 2.27	15
03244056-3904227	51.169030	-39.072980	M4.1	9.9	-21.7	 ... 	 ... 	26.80 +or- 3.85	114.95 +or- 4.85	15
04000382-2902165	60.015920	-29.037930	K7.2	8.0	-30.3	 ... 	 ... 	85.70 +or- 8.31	663.68 +or- 14.71	15
05111098-4903597	77.795750	-49.066600	M3.7	10.6	-35.8	 ... 	 ... 	43.23 +or- 7.13	70.95 +or- 3.20	15

AB Dor YMG. 100 Myr old
CD-61 1439	99.958340	-61.478330	K7	7.3	21.9	 ... 	 ... 	25.51 +or- 3.15	319.08 +or- 6.79	3
BD+01 2447	157.231670	+00.841110	M2.5	6.2	7.2	 ... 	 ... 	10.20 +or- 0.81	101.36 +or- 1.73	16
HD 201919	318.272090	-17.486940	K6	8.3	22.6	 ... 	 ... 	30.07 +or- 4.76	227.13 +or- 6.63	6
HD 217379	345.116670	-26.311940	K7	7.0	30.0	 ... 	 ... 	37.48 +or- 4.16	392.79 +or- 5.32	3
G 132-51 B (W)	15.925539	+40.854309	M2.6	 ... 	31.3	VB	0.6	12.97 +or- 3.59	45.96 +or- 5.02	14, 14
G 132-51 B (E)	15.925539	+40.854309	M3.8	 ... 	31.3	VB	0.6	12.97 +or- 3.59	45.96 +or- 5.02	14, 14
GJ 3136	32.223427	+49.449021	M2.9	8.4	15.5	 ... 	 ... 	18.12 +or- 5.74	124.20 +or- 5.92	14, 14
G 80-21	56.847252	-01.972217	M2.8	7.8	16.3	 ... 	 ... 	Not. Obs.	150.45 +or- 8.61	17 & 14
NLTT 14116	73.101689	-16.822761	M3.3	7.7	16.3	 ... 	 ... 	82.56 +or- 7.49	232.17 +or- 7.31	14
NLTT 15049 A (SW)	81.423609	-09.153466	M3.8	8.5	20.7	VB	0.5	Not. Obs.	61.96 +or- 7.89	14, 14 & 18
BD+20 1790	110.931622	+20.416288	K7	7.6	25.8	 ... 	 ... 	46.40 +or- 6.22	568.68 +or- 12.67	14
GJ 4231	328.043385	+05.626629	M2.4	8.2	31.8	 ... 	 ... 	32.29 +or- 5.68	177.54 +or- 7.94	14
GJ 9809	346.520188	+63.926213	M0.3	7.8	24.9	 ... 	 ... 	Not. Obs.	276.41 +or- 13.96	19 & 14
1RXS J235133.3+312720 AB	357.890302	+31.456391	M2.0	9.8	45.0	VB (with BD)	2.4	11.71 +or- 2.59	42.71 +or- 3.15	14, 20
HIP 110526	56.847252	-01.972217	M3	7.8	16.3	 ... 	 ... 	Not. Obs.	153.15 +or- 8.13	3

Ursa Major Association, 300 Myr old
2MASS J10364483+1521394 A (N)	159.186857	+15.360932	M4	8.7	20.1	VB	1.0	14.51 +or- 1.07	60.77 +or- 1.53	14, 14
HD 95650	165.659764	+21.967136	M2	6.5	11.7	 ... 	 ... 	53.21 +or- 8.27	367.94 +or- 11.46	21
1RXS J111300.1+102518	168.252503	+10.418295	M3.0	10.0	23.0	 ... 	 ... 	<5.00	29.33 +or- 4.09	14
G 10-52	177.147885	+07.694533	M3.5	9.5	20.7	 ... 	 ... 	11.33 +or- 3.11	34.35 +or- 3.17	14
GJ 4381 AB	359.457703	+38.629529	M2.8	8.7	-21.3	VB	0.5	31.62 +or- 3.74	81.09 +or- 3.28	14, 14

Hyades Cluster, 650 Myr old
LP 247-13	48.907641	+37.403984	M2.7	9.3	34.4	 ... 	 ... 	15.15 +or- 5.55	67.99 +or- 6.08	14
1RXS J032230.7+285852	50.631912	+28.974766	M4.0	10.8	46.7	 ... 	 ... 	<5.00	19.28 +or- 4.32	14
Cl* Melotte 25 REID 187	65.849178	+14.427931	M2.5	10.5	46.3	 ... 	 ... 	1.86 +or- 1.24	16.27 +or- 1.04	22
Cl* Melotte 25 HAN 366	66.460166	+15.002594	M4	11.6	46.3	 ... 	 ... 	Not. Obs.	2.49 +or- 0.73	22
TYC 1265-1118-1	66.519614	+15.041349	M1	9.3	46.3	 ... 	 ... 	1.15 +or- 0.75	24.75 +or- 1.05	22
Cl* Melotte 25 REID 228	66.517985	+17.120720	M3	10.9	46.3	 ... 	 ... 	15.23 +or- 0.45	20.00 +or- 0.36	22
V1102 Tau	67.119925	+17.695940	M1	8.6	46.3	VB	1.6	35.85 +or- 7.00	115.38 +or- 8.34	22, 23
Cl* Melotte 25 REID 277	67.477499	+16.912815	M2	 ... 	46.3	 ... 	 ... 	<1.00	1.63 +or- 0.38	22
V484 Tau	67.599799	+17.499760	M3.5	10.4	46.3	 ... 	 ... 	<3.00	18.03 +or- 2.72	22
GSC 01269-00867	67.871049	+17.718683	M1	9.1	46.3	 ... 	 ... 	Not. Obs.	35.25 +or- 4.67	22
Cl* Melotte 25 REID 306	68.033131	+17.664526	M2	10.9	46.3	 ... 	 ... 	Not. Obs.	<2.00	22
Cl* Melotte 25 HAN 530	68.120746	+17.904619	M4	11.2	46.3	 ... 	 ... 	Not. Obs.	16.71 +or- 3.53	22
Cl* Melotte 25 HAN 172	64.448646	+13.661744	M1	9.4	46.3	VB	0.8	<3.00	13.08 +or- 2.10	22, 23
MelottH	64.695927	+13.366275	M1	9.1	46.3	 ... 	 ... 	<6.00	20.69 +or- 2.50	22
Melotte 25 REID 189	65.928942	+15.880928	M2	10.7	46.3	 ... 	 ... 	<2.00	1.40 +or- 0.75	22
LP 415-1582	69.017367	+18.888599	M3.5	9.8	46.3	 ... 	 ... 	26.31 +or- 4.39	51.27 +or- 2.89	22
LP 415-1619	69.162224	+18.615774	M3	9.8	46.3	 ... 	 ... 	<5.00	5.30 +or- 1.58	22
